Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
2016,1112,1438,1452,2247,3631,5145,8586,8592,7583,3552,1361,815
2015,586,711,1031,2071,4578,4672,6505,2821,4174,2412,1274,1351
2014,1038,888,1035,1655,3907,4364,6613,7255,4381,2242,1039,943
2013,743,1013,1163,1519,3309,4730,7511,7612,5913,1777,980,1045
2012,1363,1340,1445,2050,3592,4425,7630,8230,5512,2948,1086,1209
2011,1154,1070,1287,2277,2886,4273,8366,9300,6756,3801,1721,936
2010,250,290,469,927,3311,5007,8313,8745,6323,3651,1596,367
2009,157,287,294,868,3149,4949,7394,8394,5741,2556,457,308
2008,501,362,622,832,1809,2744,5742,6214,4049,1442,422,400
2007,381,429,680,1207,1750,4529,8896,7688,5931,2058,608,508
2006,484,551,851,1347,1800,6168,8199,7291,4780,2680,546,454
2005,496,736,1044,1844,3277,3606,5210,6026,4101,2308,638,497
2004,527,902,1010,1779,2598,3489,13679,11268,3887,2017,703,670
2003,566,976,825,2052,2409,4035,7887,7739,5649,2211,591,609
2002,704,1111,1413,2174,2468,5326,8795,7997,6057,2980,845,720
2001,603,759,1202,2127,3708,6646,9542,8049,5871,2566,749,726
2000,824,1028,1626,2273,4084,6063,9713,12864,8818,2763,955,814
1999,765,653,1039,2132,3083,6713,10455,12884,7304,3136,1071,852
1998,1010,974,1293,1993,3274,5848,10321,9274,6334,3554,1145,759
1997,527,646,948,1815,2483,3961,6997,7925,3993,2947,1086,972
1996,425,734,1017,1723,3006,4855,8827,7614,5140,2401,678,471
1995,682,992,1117,2078,3770,5796,10589,9249,6708,2639,826,603
1994,309,270,912,1605,5091,6109,10975,5063,4060,2641,772,736
1993,211,281,566,1572,4970,6444,8223,11934,9224,2637,606,503
1992,340,351,854,1118,4704,5785,7609,10524,8282,3304,1165,410
1991,240,205,354,1025,2820,6550,13400,19070,10377,2768,748,519
1990,0,0,0,0,0,0,0,0,0,0,0,0
